CID,Name,Imax_true,Imax_pred,abs_error
8175,decanal ,76.62,43.240524,33.37947570800782
16070752,karanal,48.88,19.188988,29.69101226806641
8857,ethyl acetate ,35.06,64.14823,29.088231506347654
5352481,beta-ionone epoxide ,9.25,37.262573,28.0125732421875
7391,p-tert-butylcyclohexanol ,11.41,39.220867,27.81086715698242
93375,triplal ,73.42,45.713585,27.706415100097658
5283345,trans-2-decenal ,20.82,47.648464,26.82846420288086
7007,rosephenone,7.79,34.41154,26.621540985107423
240122,guaiyl acetate ,14.76,40.79821,26.03821014404297
163336,undecavertol ,61.49,37.262573,24.227426757812502
16204527,isocyclocitral ,59.65,37.207623,22.442377471923827
7921,gamma-valerolactone ,30.71,53.03911,22.329108276367187
526760,allyl amyl glycolate ,59.5,37.207623,22.292377471923828
234237,Jasmonyl ,41.77,20.296793,21.473207015991214
7150,methyl benzoate ,30.42,51.89246,21.472459869384764
65575,cedrol ,6.73,28.096395,21.36639549255371
454,octanal ,78.17,56.909027,21.260972900390627
10795,acetaldehyde dimethyl acetal ,66.44,45.782055,20.65794509887695
8187,10-undecenal ,60.03,39.533035,20.49696472167969
6440618,acetyl cedrene ,37.09,16.8366,20.253400650024417
